,title,Stub,Start,C,B,GA,FA,n_words,level2,level3,level4,level5,level6,book_citations,journal_citations,n_internal_links,n_external_links,n_paragraphs,n_unreferenced,n_categories,n_images
0,AccessibleComputing,0.9619252412840422,0.019545506234026615,0.007101255780370622,0.007572319917627214,0.00211652454531136,0.0017391522386219647,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,Anarchism,0.003440945934734344,0.010874872622969923,0.05747101159586734,0.27857332343614544,0.14322484471460367,0.5064150016956791,10120.0,29.0,16.0,3.0,0.0,0.0,108.0,10.0,389.0,108.0,74.0,0.0,7.0,0.0
2,AfghanistanHistory,0.9677538132338391,0.015962334470526498,0.00624377085472398,0.006654328761799732,0.0018586127566347379,0.001527139922476035,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,AfghanistanGeography,0.9673119980360312,0.016281970752231992,0.006291243135160894,0.006703842554823146,0.0018724423960524614,0.0015385031256999785,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,AfghanistanPeople,0.9672875743828624,0.01614879616845439,0.006348614676255318,0.00677185701849419,0.0018906762080976962,0.001552481545836242,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,AfghanistanCommunications,0.9674203102821464,0.01600722817627857,0.006339728769403822,0.006790368013987649,0.0018902459154870694,0.001552118842696697,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,AfghanistanTransportations,0.9654790347886976,0.01791707346422105,0.006366645207836662,0.006780988551683511,0.0018972686964021013,0.0015589892911587679,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,AfghanistanMilitary,0.9682887638679112,0.015585910846421571,0.006178018240416053,0.006592908578696403,0.0018413542127811398,0.00151304425377368,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,AfghanistanTransnationalIssues,0.9664101258270944,0.016660260289294224,0.006317871604793282,0.00710236205201192,0.0019024021519992464,0.0016069780748069811,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
9,AssistiveTechnology,0.9681902963376084,0.01567076859566311,0.006188204766690005,0.0065951089367311325,0.0018420721367979121,0.0015135492265093012,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
